Item,Type,Group,Number,DomainIntro,domainImage1,domainImage2,domainImage3,domainImage4,domainImage5,Premises,judgmentImage1,judgmentImage2,judgmentImage3,TargetResponse,set_A,set_B,A1_color,A2_color,A3_color,B1_color,B2_color
critical-3-A1,AorB_A1.A1A2A3,1,1 of 2,HeroRGB_WitchGY.mp3,HeroRed.png,HeroGreen.png,HeroBlue.png,WitchGreen.png,WitchYellow.png,HeroOrWitch_AlsoHeroRed.mp3,HeroRed.png,HeroGreen.png,HeroBlue.png,happy,Hero,Witch,Red,Green,Blue,Green,Yellow
critical-3-A1,AorB_A2.A1A2A3,1,2 of 2,MailmanBGR_SoccerBR.mp3,MailmanBlue.png,MailmanGreen.png,MailmanRed.png,SoccerBlue.png,SoccerRed.png,MailmanOrSoccer_AlsoMailmanGreen.mp3,MailmanBlue.png,MailmanGreen.png,MailmanRed.png,happy,Mailman,Soccer,Blue,Green,Red,Blue,Red
critical-3-A1,AorB_A3.A1A2A3,2,1 of 2,GhostGRY_ScientistYG.mp3,GhostGreen.png,GhostRed.png,GhostYellow.png,ScientistYellow.png,ScientistGreen.png,GhostOrScientist_AlsoGhostYellow.mp3,GhostGreen.png,GhostRed.png,GhostYellow.png,happy,Ghost,Scientist,Green,Red,Yellow,Yellow,Green
critical-3-A1,AorB_A1.A1A2A3,2,2 of 2,RomanRBG_MermaidGB.mp3,RomanRed.png,RomanBlue.png,RomanGreen.png,MermaidGreen.png,MermaidBlue.png,RomanOrMermaid_AlsoRomanRed.mp3,RomanRed.png,RomanBlue.png,RomanGreen.png,happy,Roman,Mermaid,Red,Blue,Green,Green,Blue
critical-3-A1,AorB_A2.A1A2A3,3,1 of 2,LawyerGBR_DancerBY.mp3,LawyerGreen.png,LawyerBlue.png,LawyerRed.png,DancerBlue.png,DancerYellow.png,LawyerOrDancer_AlsoLawyerBlue.mp3,LawyerGreen.png,LawyerBlue.png,LawyerRed.png,happy,Lawyer,Dancer,Green,Blue,Red,Blue,Yellow
critical-3-A1,AorB_A3.A1A2A3,3,2 of 2,SnowmanGBR_FarmerRY.mp3,SnowmanGreen.png,SnowmanBlue.png,SnowmanRed.png,FarmerRed.png,FarmerYellow.png,SnowmanOrFarmer_AlsoSnowmanRed.mp3,SnowmanGreen.png,SnowmanBlue.png,SnowmanRed.png,happy,Snowman,Farmer,Green,Blue,Red,Red,Yellow
critical-3-A1,AorB_A1.A1A2A3,4,1 of 2,SailorYRB_PainterBG.mp3,SailorYellow.png,SailorRed.png,SailorBlue.png,PainterBlue.png,PainterGreen.png,SailorOrPainter_AlsoSailorYellow.mp3,SailorYellow.png,SailorRed.png,SailorBlue.png,happy,Sailor,Painter,Yellow,Red,Blue,Blue,Green
critical-3-A1,AorB_A3.A1A2A3,4,2 of 2,PhotographerYGR_TennisRY.mp3,PhotographerYellow.png,PhotographerGreen.png,PhotographerRed.png,TennisRed.png,TennisYellow.png,PhotographerOrTennis_AlsoPhotographerRed.mp3,PhotographerYellow.png,PhotographerGreen.png,PhotographerRed.png,happy,Photographer,Tennis,Yellow,Green,Red,Red,Yellow
critical-3-A1,AorB_A2.A1A2A3,5,1 of 2,VetYGR_FarmerBY.mp3,VetYellow.png,VetGreen.png,VetRed.png,FarmerBlue.png,FarmerYellow.png,VetOrFarmer_AlsoVetGreen.mp3,VetYellow.png,VetGreen.png,VetRed.png,happy,Vet,Farmer,Yellow,Green,Red,Blue,Yellow
critical-3-A1,AorB_A1.A1A2A3,5,2 of 2,SailorGYR_ScubaYG.mp3,SailorGreen.png,SailorYellow.png,SailorRed.png,ScubaYellow.png,ScubaGreen.png,SailorOrScuba_AlsoSailorGreen.mp3,SailorGreen.png,SailorYellow.png,SailorRed.png,happy,Sailor,Scuba,Green,Yellow,Red,Yellow,Green
critical-3-A1,AorB_A3.A1A2A3,6,1 of 2,AngelBGR_KnightRG.mp3,AngelBlue.png,AngelGreen.png,AngelRed.png,KnightRed.png,KnightGreen.png,AngelOrKnight_AlsoAngelRed.mp3,AngelBlue.png,AngelGreen.png,AngelRed.png,happy,Angel,Knight,Blue,Green,Red,Red,Green
critical-3-A1,AorB_A2.A1A2A3,6,2 of 2,BusinessBGR_QueenBG.mp3,BusinessBlue.png,BusinessGreen.png,BusinessRed.png,QueenBlue.png,QueenGreen.png,BusinessOrQueen_AlsoBusinessGreen.mp3,BusinessBlue.png,BusinessGreen.png,BusinessRed.png,happy,Business,Queen,Blue,Green,Red,Blue,Green
