Item,Type,Group,Number,DomainIntro,domainImage1,domainImage2,domainImage3,domainImage4,domainImage5,Premises,judgmentImage1,judgmentImage2,judgmentImage3,judgmentImage4,judgmentImage5,TargetResponse,set_A,set_B,A1_color,A2_color,A3_color,B1_color,B2_color
critical-1-B3,AorB.A1A2A3B1B2,1,3 of 4,CowboyGRY_SingerRB.mp3,CowboyGreen.png,CowboyRed.png,CowboyYellow.png,SingerRed.png,SingerBlue.png,CowboyOrSinger.mp3,CowboyGreen.png,CowboyRed.png,CowboyYellow.png,SingerRed.png,SingerBlue.png,happy,Cowboy,Singer,Green,Red,Yellow,Red,Blue
critical-1-B3,AorB.A1A2A3B1B2,1,4 of 4,DancerRBY_MailmanRY.mp3,DancerRed.png,DancerBlue.png,DancerYellow.png,MailmanRed.png,MailmanYellow.png,DancerOrMailman.mp3,DancerRed.png,DancerBlue.png,DancerYellow.png,MailmanRed.png,MailmanYellow.png,happy,Dancer,Mailman,Red,Blue,Yellow,Red,Yellow
critical-1-B3,AorB.A1A2A3B1B2,2,3 of 4,SailorRBG_PolicemanBR.mp3,SailorRed.png,SailorBlue.png,SailorGreen.png,PolicemanBlue.png,PolicemanRed.png,SailorOrPoliceman.mp3,SailorRed.png,SailorBlue.png,SailorGreen.png,PolicemanBlue.png,PolicemanRed.png,happy,Sailor,Policeman,Red,Blue,Green,Blue,Red
critical-1-B3,AorB.A1A2A3B1B2,2,4 of 4,PhotographerRBY_MusicianYG.mp3,PhotographerRed.png,PhotographerYellow.png,PhotographerBlue.png,MusicianYellow.png,MusicianGreen.png,PhotographerOrMusician.mp3,PhotographerRed.png,PhotographerYellow.png,PhotographerBlue.png,MusicianYellow.png,MusicianGreen.png,happy,Photographer,Musician,Red,Yellow,Blue,Yellow,Green
critical-1-B3,AorB.A1A2A3B1B2,3,3 of 4,GnomeBYR_NurseYG.mp3,GnomeBlue.png,GnomeYellow.png,GnomeRed.png,NurseYellow.png,NurseGreen.png,GnomeOrNurse.mp3,GnomeBlue.png,GnomeYellow.png,GnomeRed.png,NurseYellow.png,NurseGreen.png,happy,Gnome,Nurse,Blue,Yellow,Red,Yellow,Green
critical-1-B3,AorB.A1A2A3B1B2,3,4 of 4,ChefRGYSoldierGY.mp3,ChefRed.png,ChefGreen.png,ChefYellow.png,SoldierGreen.png,SoldierYellow.png,ChefOrSoldier.mp3,ChefRed.png,ChefGreen.png,ChefYellow.png,SoldierGreen.png,SoldierYellow.png,happy,Chef,Soldier,Red,Green,Yellow,Green,Yellow
critical-1-B3,AorB.A1A2A3B1B2,4,3 of 4,ServerBRY_PilotRG.mp3,ServerBlue.png,ServerRed.png,ServerYellow.png,PilotRed.png,PilotGreen.png,ServerOrPilot.mp3,ServerBlue.png,ServerRed.png,ServerYellow.png,PilotRed.png,PilotGreen.png,happy,Server,Pilot,Blue,Red,Yellow,Red,Green
critical-1-B3,AorB.A1A2A3B1B2,4,4 of 4,BusinessBRY_MermaidYG.mp3,BusinessBlue.png,BusinessRed.png,BusinessYellow.png,MermaidYellow.png,MermaidGreen.png,BusinessOrMermaid.mp3,BusinessBlue.png,BusinessRed.png,BusinessYellow.png,MermaidYellow.png,MermaidGreen.png,happy,Business,Mermaid,Blue,Red,Yellow,Yellow,Green
critical-1-B3,AorB.A1A2A3B1B2,5,3 of 4,WitchGRB_MummyGB.mp3,WitchGreen.png,WitchRed.png,WitchBlue.png,MummyGreen.png,MummyBlue.png,WitchOrMummy.mp3,WitchGreen.png,WitchRed.png,WitchBlue.png,MummyGreen.png,MummyBlue.png,happy,Witch,Mummy,Green,Red,Blue,Green,Blue
critical-1-B3,AorB.A1A2A3B1B2,5,4 of 4,SingerGBY_ServerGR.mp3,SingerGreen.png,SingerBlue.png,SingerYellow.png,ServerGreen.png,ServerRed.png,SingerOrServer.mp3,SingerGreen.png,SingerBlue.png,SingerYellow.png,ServerGreen.png,ServerRed.png,happy,Singer,Server,Green,Blue,Yellow,Green,Red
critical-1-B3,AorB.A1A2A3B1B2,6,3 of 4,SnowmanGBY_LawyerGY.mp3,SnowmanGreen.png,SnowmanBlue.png,SnowmanYellow.png,LawyerGreen.png,LawyerYellow.png,SnowmanOrLawyer.mp3,SnowmanGreen.png,SnowmanBlue.png,SnowmanYellow.png,LawyerGreen.png,LawyerYellow.png,happy,Snowman,Lawyer,Green,Blue,Yellow,Green,Yellow
critical-1-B3,AorB.A1A2A3B1B2,6,4 of 4,LifeguardYRB_GhostRY.mp3,LifeguardYellow.png,LifeguardRed.png,LifeguardBlue.png,GhostRed.png,GhostYellow.png,LifeguardOrGhost.mp3,LifeguardYellow.png,LifeguardRed.png,LifeguardBlue.png,GhostRed.png,GhostYellow.png,happy,Lifeguard,Ghost,Yellow,Red,Blue,Red,Yellow
