Item,Type,Group,Number,DomainIntro,domainImage1,domainImage2,domainImage3,domainImage4,domainImage5,Premises,judgmentImage1,judgmentImage2,judgmentImage3,TargetResponse,set_A,set_B,A1_color,A2_color,A3_color,B1_color,B2_color
control-false-both-C1,AorB_B1.A1A2A3,1,1 of 2,ScientistBRG_ClownYG.mp3,ScientistBlue.png,ScientistRed.png,ScientistGreen.png,ClownYellow.png,ClownGreen.png,ScientistOrClown_AlsoClownYellow.mp3,ScientistBlue.png,ScientistRed.png,ScientistGreen.png,sad,Scientist,Clown,Blue,Red,Green,Yellow,Green
control-false-both-C1,AorB_B2.A1A2A3,1,2 of 2,HairdresserGRB_ScientistYR.mp3,HairdresserGreen.png,HairdresserRed.png,HairdresserBlue.png,ScientistYellow.png,ScientistRed.png,HairdresserOrScientist_AlsoScientistRed.mp3,HairdresserGreen.png,HairdresserRed.png,HairdresserBlue.png,sad,Hairdresser,Scientist,Green,Red,Blue,Yellow,Red
control-false-both-C1,AorB_B2.A1A2A3,2,1 of 2,ArtistYGB_ChefYG.mp3,ArtistYellow.png,ArtistGreen.png,ArtistBlue.png,ChefYellow.png,ChefGreen.png,ArtistOrChef_AlsoChefGreen.mp3,ArtistYellow.png,ArtistGreen.png,ArtistBlue.png,sad,Artist,Chef,Yellow,Green,Blue,Yellow,Green
control-false-both-C1,AorB_B1.A1A2A3,2,2 of 2,SoccerRYG_CowboyYR.mp3,SoccerRed.png,SoccerYellow.png,SoccerGreen.png,CowboyYellow.png,CowboyRed.png,SoccerOrCowboy_AlsoCowboyYellow.mp3,SoccerRed.png,SoccerYellow.png,SoccerGreen.png,sad,Soccer,Cowboy,Red,Yellow,Green,Yellow,Red
control-false-both-C1,AorB_B1.A1A2A3,3,1 of 2,PilotGYR_ScubaGB.mp3,PilotGreen.png,PilotYellow.png,PilotRed.png,ScubaGreen.png,ScubaBlue.png,PilotOrScuba_AlsoScubaGreen.mp3,PilotGreen.png,PilotYellow.png,PilotRed.png,sad,Pilot,Scuba,Green,Yellow,Red,Green,Blue
control-false-both-C1,AorB_B2.A1A2A3,3,2 of 2,PhotographerBRY_AstronautRY.mp3,PhotographerBlue.png,PhotographerRed.png,PhotographerYellow.png,AstronautRed.png,AstronautYellow.png,PhotographerOrAstronaut_AlsoAstronautYellow.mp3,PhotographerBlue.png,PhotographerRed.png,PhotographerYellow.png,sad,Photographer,Astronaut,Blue,Red,Yellow,Red,Yellow
control-false-both-C1,AorB_B2.A1A2A3,4,1 of 2,KingYGR_AngelYB.mp3,KingYellow.png,KingGreen.png,KingRed.png,AngelYellow.png,AngelBlue.png,KingOrAngel_AlsoAngelBlue.mp3,KingYellow.png,KingGreen.png,KingRed.png,sad,King,Angel,Yellow,Green,Red,Yellow,Blue
control-false-both-C1,AorB_B1.A1A2A3,4,2 of 2,ArtisanYRB_FarmerGR.mp3,ArtisanYellow.png,ArtisanRed.png,ArtisanBlue.png,FarmerGreen.png,FarmerRed.png,ArtisanOrFarmer_AlsoFarmerGreen.mp3,ArtisanYellow.png,ArtisanRed.png,ArtisanBlue.png,sad,Artisan,Farmer,Yellow,Red,Blue,Green,Red
control-false-both-C1,AorB_B1.A1A2A3,5,1 of 2,QueenYRG_HairdresserYB.mp3,QueenYellow.png,QueenRed.png,QueenGreen.png,HairdresserYellow.png,HairdresserBlue.png,QueenOrHairdresser_AlsoHairdresserYellow.mp3,QueenYellow.png,QueenRed.png,QueenGreen.png,sad,Queen,Hairdresser,Yellow,Red,Green,Yellow,Blue
control-false-both-C1,AorB_B2.A1A2A3,5,2 of 2,MailmanGBY_SailorYG.mp3,MailmanGreen.png,MailmanBlue.png,MailmanYellow.png,SailorYellow.png,SailorGreen.png,MailmanOrSailor_AlsoSailorGreen.mp3,MailmanGreen.png,MailmanBlue.png,MailmanYellow.png,sad,Mailman,Sailor,Green,Blue,Yellow,Yellow,Green
control-false-both-C1,AorB_B2.A1A2A3,6,1 of 2,DancerRGB_MermaidRG.mp3,DancerRed.png,DancerGreen.png,DancerBlue.png,MermaidRed.png,MermaidGreen.png,DancerOrMermaid_AlsoMermaidGreen.mp3,DancerRed.png,DancerGreen.png,DancerBlue.png,sad,Dancer,Mermaid,Red,Green,Blue,Red,Green
control-false-both-C1,AorB_B1.A1A2A3,6,2 of 2,RomanGBY_VetRY.mp3,RomanGreen.png,RomanBlue.png,RomanYellow.png,VetRed.png,VetYellow.png,RomanOrVet_AlsoVetRed.mp3,RomanGreen.png,RomanBlue.png,RomanYellow.png,sad,Roman,Vet,Green,Blue,Yellow,Red,Yellow
