Item,Type,Group,Number,DomainIntro,DomainName,domainImage1,domainImage2,domainImage3,domainImage4,domainImage5,Premises,judgmentImage1,judgmentImage2,judgmentImage3,TargetResponse,set_A,set_B,A1_color,A2_color,A3_color,B1_color,B2_color
critical-2-C2,AorB_B1.A3B1B2,1,1 of 2,ElfServer.ogg,ElfServer,ElfGreen.png,ElfBlue.png,ElfYellow.png,ServerBlue.png,ServerRed.png,ElfOrServer_ServerBlue.ogg,ElfYellow.png,ServerBlue.png,ServerRed.png,happy,Elf,Server,Green,Blue,Yellow,Blue,Red
critical-2-C2,AorB_B2.A1B1B2,1,2 of 2,BuilderMime.ogg,BuilderMime,BuilderRed.png,BuilderBlue.png,BuilderGreen.png,MimeRed.png,MimeBlue.png,BuilderOrMime_MimeBlue.ogg,BuilderRed.png,MimeRed.png,MimeBlue.png,happy,Builder,Mime,Red,Blue,Green,Red,Blue
critical-2-C2,AorB_B2.A2B1B2,2,1 of 2,LawyerPirate.ogg,LawyerPirate,LawyerRed.png,LawyerBlue.png,LawyerYellow.png,PirateYellow.png,PirateRed.png,LawyerOrPirate_PirateRed.ogg,LawyerBlue.png,PirateYellow.png,PirateRed.png,happy,Lawyer,Pirate,Red,Blue,Yellow,Yellow,Red
critical-2-C2,AorB_B1.A1B1B2,2,2 of 2,SingerEmperor.ogg,SingerEmperor,SingerBlue.png,SingerGreen.png,SingerYellow.png,EmperorBlue.png,EmperorGreen.png,SingerOrEmperor_EmperorBlue.ogg,SingerBlue.png,EmperorBlue.png,EmperorGreen.png,happy,Singer,Emperor,Blue,Green,Yellow,Blue,Green
critical-2-C2,AorB_B2.A3B1B2,3,1 of 2,KnightGardener.ogg,KnightGardener,KnightYellow.png,KnightGreen.png,KnightRed.png,GardenerYellow.png,GardenerGreen.png,KnightOrGardener_GardenerGreen.ogg,KnightRed.png,GardenerYellow.png,GardenerGreen.png,happy,Knight,Gardener,Yellow,Green,Red,Yellow,Green
critical-2-C2,AorB_B1.A2B1B2,3,2 of 2,MusicianPilot.ogg,MusicianPilot,MusicianGreen.png,MusicianBlue.png,MusicianYellow.png,PilotGreen.png,PilotBlue.png,MusicianOrPilot_PilotGreen.ogg,MusicianBlue.png,PilotGreen.png,PilotBlue.png,happy,Musician,Pilot,Green,Blue,Yellow,Green,Blue
critical-2-C2,AorB_B1.A2B1B2,4,1 of 2,SingerHairdresser.ogg,SingerHairdresser,SingerYellow.png,SingerRed.png,SingerGreen.png,HairdresserRed.png,HairdresserBlue.png,SingerOrHairdresser_HairdresserRed.ogg,SingerRed.png,HairdresserRed.png,HairdresserBlue.png,happy,Singer,Hairdresser,Yellow,Red,Green,Red,Blue
critical-2-C2,AorB_B1.A3B1B2,4,2 of 2,PolicemanScientist.ogg,PolicemanScientist,PolicemanYellow.png,PolicemanGreen.png,PolicemanBlue.png,ScientistGreen.png,ScientistYellow.png,PolicemanOrScientist_ScientistGreen.ogg,PolicemanBlue.png,ScientistGreen.png,ScientistYellow.png,happy,Policeman,Scientist,Yellow,Green,Blue,Green,Yellow
critical-2-C2,AorB_B2.A1B1B2,5,1 of 2,PolicemanClown.ogg,PolicemanClown,PolicemanRed.png,PolicemanYellow.png,PolicemanGreen.png,ClownBlue.png,ClownRed.png,PolicemanOrClown_ClownRed.ogg,PolicemanRed.png,ClownBlue.png,ClownRed.png,happy,Policeman,Clown,Red,Yellow,Green,Blue,Red
critical-2-C2,AorB_B2.A2B1B2,5,2 of 2,SoccerKing.ogg,SoccerKing,SoccerRed.png,SoccerBlue.png,SoccerYellow.png,KingGreen.png,KingRed.png,SoccerOrKing_KingRed.ogg,SoccerBlue.png,KingGreen.png,KingRed.png,happy,Soccer,King,Red,Blue,Yellow,Green,Red
critical-2-C2,AorB_B1.A1B1B2,6,1 of 2,BuilderAngel.ogg,BuilderAngel,BuilderYellow.png,BuilderGreen.png,BuilderRed.png,AngelRed.png,AngelBlue.png,BuilderOrAngel_AngelRed.ogg,BuilderYellow.png,AngelRed.png,AngelBlue.png,happy,Builder,Angel,Yellow,Green,Red,Red,Blue
critical-2-C2,AorB_B2.A3B1B2,6,2 of 2,DetectiveSnowman.ogg,DetectiveSnowman,DetectiveGreen.png,DetectiveRed.png,DetectiveBlue.png,SnowmanGreen.png,SnowmanRed.png,DetectiveOrSnowman_SnowmanRed.ogg,DetectiveBlue.png,SnowmanGreen.png,SnowmanRed.png,happy,Detective,Snowman,Green,Red,Blue,Green,Red
