Item,Type,Group,Number,DomainIntro,domainImage1,domainImage2,domainImage3,domainImage4,domainImage5,Premises,judgmentImage1,judgmentImage2,judgmentImage3,judgmentImage4,judgmentImage5,TargetResponse,set_A,set_B,A1_color,A2_color,A3_color,B1_color,B2_color
critical-2-C3,AorB_B2.A1A2A3B1B2,1,1 of 2,VetYGB_KingRG.mp3,VetYellow.png,VetGreen.png,VetBlue.png,KingRed.png,KingGreen.png,VetOrKing_AlsoKingGreen.mp3,VetYellow.png,VetGreen.png,VetBlue.png,KingRed.png,KingGreen.png,happy,Vet,King,Yellow,Green,Blue,Red,Green
critical-2-C3,AorB_B1.A1A2A3B1B2,1,2 of 2,PilotYRG_CowboyYG.mp3,PilotYellow.png,PilotRed.png,PilotGreen.png,CowboyYellow.png,CowboyGreen.png,PilotOrCowboy_AlsoCowboyYellow.mp3,PilotYellow.png,PilotRed.png,PilotGreen.png,CowboyYellow.png,CowboyGreen.png,happy,Pilot,Cowboy,Yellow,Red,Green,Yellow,Green
critical-2-C3,AorB_B1.A1A2A3B1B2,2,1 of 2,MummyRGB_SailorGR.mp3,MummyRed.png,MummyGreen.png,MummyBlue.png,SailorGreen.png,SailorRed.png,MummyOrSailor_AlsoSailorGreen.mp3,MummyRed.png,MummyGreen.png,MummyBlue.png,SailorGreen.png,SailorRed.png,happy,Mummy,Sailor,Red,Green,Blue,Green,Red
critical-2-C3,AorB_B2.A1A2A3B1B2,2,2 of 2,SnowmanRYG_VetRY.mp3,SnowmanRed.png,SnowmanYellow.png,SnowmanGreen.png,VetRed.png,VetYellow.png,SnowmanOrVet_AlsoVetYellow.mp3,SnowmanRed.png,SnowmanYellow.png,SnowmanGreen.png,VetRed.png,VetYellow.png,happy,Snowman,Vet,Red,Yellow,Green,Red,Yellow
critical-2-C3,AorB_B2.A1A2A3B1B2,3,1 of 2,MailmanYGR_ChefBG.mp3,MailmanYellow.png,MailmanGreen.png,MailmanRed.png,ChefBlue.png,ChefGreen.png,MailmanOrChef_AlsoChefGreen.mp3,MailmanYellow.png,MailmanGreen.png,MailmanRed.png,ChefBlue.png,ChefGreen.png,happy,Mailman,Chef,Yellow,Green,Red,Blue,Green
critical-2-C3,AorB_B1.A1A2A3B1B2,3,2 of 2,FighterGRY_TeacherRG.mp3,FighterGreen.png,FighterRed.png,FighterYellow.png,TeacherRed.png,TeacherGreen.png,FighterOrTeacher_AlsoTeacherRed.mp3,FighterGreen.png,FighterRed.png,FighterYellow.png,TeacherRed.png,TeacherGreen.png,happy,Fighter,Teacher,Green,Red,Yellow,Red,Green
critical-2-C3,AorB_B1.A1A2A3B1B2,4,1 of 2,GhostYBR_ArtistBR.mp3,GhostYellow.png,GhostBlue.png,GhostRed.png,ArtistBlue.png,ArtistRed.png,GhostOrArtist_AlsoArtistBlue.mp3,GhostYellow.png,GhostBlue.png,GhostRed.png,ArtistBlue.png,ArtistRed.png,happy,Ghost,Artist,Yellow,Blue,Red,Blue,Red
critical-2-C3,AorB_B2.A1A2A3B1B2,4,2 of 2,AngelYBG_WitchRY.mp3,AngelYellow.png,AngelBlue.png,AngelGreen.png,WitchRed.png,WitchYellow.png,AngelOrWitch_AlsoWitchYellow.mp3,AngelYellow.png,AngelBlue.png,AngelGreen.png,WitchRed.png,WitchYellow.png,happy,Angel,Witch,Yellow,Blue,Green,Red,Yellow
critical-2-C3,AorB_B2.A1A2A3B1B2,5,1 of 2,FighterRYG_MagicianYG.mp3,FighterRed.png,FighterYellow.png,FighterGreen.png,MagicianYellow.png,MagicianGreen.png,FighterOrMagician_AlsoMagicianGreen.mp3,FighterRed.png,FighterYellow.png,FighterGreen.png,MagicianYellow.png,MagicianGreen.png,happy,Fighter,Magician,Red,Yellow,Green,Yellow,Green
critical-2-C3,AorB_B1.A1A2A3B1B2,5,2 of 2,ScubaYRG_PolicemanBY.mp3,ScubaYellow.png,ScubaRed.png,ScubaGreen.png,PolicemanBlue.png,PolicemanYellow.png,ScubaOrPoliceman_AlsoPolicemanBlue.mp3,ScubaYellow.png,ScubaRed.png,ScubaGreen.png,PolicemanBlue.png,PolicemanYellow.png,happy,Scuba,Policeman,Yellow,Red,Green,Blue,Yellow
critical-2-C3,AorB_B1.A1A2A3B1B2,6,1 of 2,FarmerGYR_LifeguardRB.mp3,FarmerGreen.png,FarmerYellow.png,FarmerRed.png,LifeguardRed.png,LifeguardBlue.png,FarmerOrLifeguard_AlsoLifeguardRed.mp3,FarmerGreen.png,FarmerYellow.png,FarmerRed.png,LifeguardRed.png,LifeguardBlue.png,happy,Farmer,Lifeguard,Green,Yellow,Red,Red,Blue
critical-2-C3,AorB_B2.A1A2A3B1B2,6,2 of 2,AstronautGYB_SailorGR.mp3,AstronautGreen.png,AstronautYellow.png,AstronautBlue.png,SailorGreen.png,SailorRed.png,AstronautOrSailor_AlsoSailorRed.mp3,AstronautGreen.png,AstronautYellow.png,AstronautBlue.png,SailorGreen.png,SailorRed.png,happy,Astronaut,Sailor,Green,Yellow,Blue,Green,Red
