Item,Type,Group,Number,DomainIntro,domainImage1,domainImage2,domainImage3,domainImage4,domainImage5,Premises,judgmentImage1,judgmentImage2,judgmentImage3,judgmentImage4,TargetResponse,set_A,set_B,A1_color,A2_color,A3_color,B1_color,B2_color
critical-3-C5,AorB_B1.A1A2A3B1,1,1 of 2,ArtistGRY_TennisGB.mp3,ArtistGreen.png,ArtistRed.png,ArtistYellow.png,TennisGreen.png,TennisBlue.png,ArtistOrTennis_AlsoTennisGreen.mp3,ArtistGreen.png,ArtistRed.png,ArtistYellow.png,TennisGreen.png,happy,Artist,Tennis,Green,Red,Yellow,Green,Blue
critical-3-C5,AorB_B2.A1A2A3B2,1,2 of 2,LifeguardBRY_VetGR.mp3,LifeguardBlue.png,LifeguardRed.png,LifeguardYellow.png,VetGreen.png,VetRed.png,LifeguardOrVet_AlsoVetRed.mp3,LifeguardBlue.png,LifeguardRed.png,LifeguardYellow.png,VetRed.png,happy,Lifeguard,Vet,Blue,Red,Yellow,Green,Red
critical-3-C5,AorB_B1.A1A2A3B1,2,1 of 2,WitchYGR_LawyerBR.mp3,WitchYellow.png,WitchGreen.png,WitchRed.png,LawyerBlue.png,LawyerRed.png,WitchOrLawyer_AlsoLawyerBlue.mp3,WitchYellow.png,WitchGreen.png,WitchRed.png,LawyerBlue.png,happy,Witch,Lawyer,Yellow,Green,Red,Blue,Red
critical-3-C5,AorB_B2.A1A2A3B2,2,2 of 2,BusinessYRG_HairdresserYR.mp3,BusinessYellow.png,BusinessRed.png,BusinessBlue.png,HairdresserYellow.png,HairdresserRed.png,BusinessOrHairdresser_AlsoHairdresserRed.mp3,BusinessYellow.png,BusinessRed.png,BusinessBlue.png,HairdresserRed.png,happy,Business,Hairdresser,Yellow,Red,Blue,Yellow,Red
critical-3-C5,AorB_B2.A1A2A3B2,3,1 of 2,FarmerRGB_ArtisanYR.mp3,FarmerRed.png,FarmerGreen.png,FarmerBlue.png,ArtisanYellow.png,ArtisanRed.png,FarmerOrArtisan_AlsoArtisanRed.mp3,FarmerRed.png,FarmerGreen.png,FarmerBlue.png,ArtisanRed.png,happy,Farmer,Artisan,Red,Green,Blue,Yellow,Red
critical-3-C5,AorB_B1.A1A2A3B1,3,2 of 2,PolicemanBGR_ClownYR.mp3,PolicemanBlue.png,PolicemanGreen.png,PolicemanRed.png,ClownYellow.png,ClownRed.png,PolicemanOrClown_AlsoClownYellow.mp3,PolicemanBlue.png,PolicemanGreen.png,PolicemanRed.png,ClownYellow.png,happy,Policeman,Clown,Blue,Green,Red,Yellow,Red
critical-3-C5,AorB_B2.A1A2A3B2,4,1 of 2,LifeguardYGR_FighterYR.mp3,LifeguardYellow.png,LifeguardGreen.png,LifeguardRed.png,FighterYellow.png,FighterRed.png,LifeguardOrFighter_AlsoFighterRed.mp3,LifeguardYellow.png,LifeguardGreen.png,LifeguardRed.png,FighterRed.png,happy,Lifeguard,Fighter,Yellow,Green,Red,Yellow,Red
critical-3-C5,AorB_B1.A1A2A3B1,4,2 of 2,PainterBYR_GardenerBG.mp3,PainterBlue.png,PainterYellow.png,PainterRed.png,GardenerBlue.png,GardenerGreen.png,PainterOrGardener_AlsoGardenerBlue.mp3,PainterBlue.png,PainterYellow.png,PainterRed.png,GardenerBlue.png,happy,Painter,Gardener,Blue,Yellow,Red,Blue,Green
critical-3-C5,AorB_B1.A1A2A3B1,5,1 of 2,TeacherBGR_QueenRB.mp3,TeacherBlue.png,TeacherGreen.png,TeacherRed.png,QueenRed.png,QueenBlue.png,TeacherOrQueen_AlsoQueenRed.mp3,TeacherBlue.png,TeacherGreen.png,TeacherRed.png,QueenRed.png,happy,Teacher,Queen,Blue,Green,Red,Red,Blue
critical-3-C5,AorB_B2.A1A2A3B2,5,2 of 2,MummyGRB_LawyerRB.mp3,MummyGreen.png,MummyRed.png,MummyBlue.png,LawyerRed.png,LawyerBlue.png,MummyOrLawyer_AlsoLawyerBlue.mp3,MummyGreen.png,MummyRed.png,MummyBlue.png,LawyerBlue.png,happy,Mummy,Lawyer,Green,Red,Blue,Red,Blue
critical-3-C5,AorB_B2.A1A2A3B2,6,1 of 2,GnomeYRG_GardenerGB.mp3,GnomeYellow.png,GnomeRed.png,GnomeGreen.png,GardenerGreen.png,GardenerBlue.png,GnomeOrGardener_AlsoGardenerBlue.mp3,GnomeYellow.png,GnomeRed.png,GnomeGreen.png,GardenerBlue.png,happy,Gnome,Gardener,Yellow,Red,Green,Green,Blue
critical-3-C5,AorB_B1.A1A2A3B1,6,2 of 2,SingerRGY_FighterRB.mp3,SingerRed.png,SingerGreen.png,SingerYellow.png,FighterRed.png,FighterBlue.png,SingerOrFighter_AlsoFighterRed.mp3,SingerRed.png,SingerGreen.png,SingerYellow.png,FighterRed.png,happy,Singer,Fighter,Red,Green,Yellow,Red,Blue
