Item,Type,Group,Number,DomainIntro,domainImage1,domainImage2,domainImage3,domainImage4,domainImage5,Premises,judgmentImage1,judgmentImage2,judgmentImage3,TargetResponse,set_A,set_B,A1_color,A2_color,A3_color,B1_color,B2_color
control-false-wrong-one-D2,A3.A2B1B2,one,1 of 2,QueenBRY_PlumberYR.mp3,QueenBlue.png,QueenRed.png,QueenYellow.png,PlumberYellow.png,PlumberRed.png,QueenYellow.mp3,QueenRed.png,PlumberYellow.png,PlumberRed.png,sad,Queen,Plumber,Blue,Red,Yellow,Yellow,Red
control-false-wrong-one-D2,A2.A1B1B2,one,2 of 2,WitchRYB_AngelBR.mp3,WitchRed.png,WitchYellow.png,WitchBlue.png,AngelBlue.png,AngelRed.png,WitchYellow.mp3,WitchRed.png,AngelBlue.png,AngelRed.png,sad,Witch,Angel,Red,Yellow,Blue,Blue,Red
control-false-wrong-one-D2,A3.A3B1B2,two,1 of 2,GardenerRYB_HeroBG.mp3,GardenerRed.png,GardenerYellow.png,GardenerBlue.png,HeroBlue.png,HeroGreen.png,GardenerYellow.mp3,GardenerBlue.png,HeroBlue.png,HeroGreen.png,sad,Gardener,Hero,Red,Yellow,Blue,Blue,Green
control-false-wrong-one-D2,A2.A2B1B2,two,2 of 2,ScientistYGB_BusinessYR.mp3,ScientistYellow.png,ScientistGreen.png,ScientistBlue.png,BusinessYellow.png,BusinessRed.png,ScientistYellow.mp3,ScientistGreen.png,BusinessYellow.png,BusinessRed.png,sad,Scientist,Business,Yellow,Green,Blue,Yellow,Red
control-false-wrong-one-D2,A2.A2B1B2,three,1 of 2,AcrobatBRY_FighterBG.mp3,AcrobatBlue.png,AcrobatRed.png,AcrobatYellow.png,FighterBlue.png,FighterGreen.png,AcrobatBlue.mp3,AcrobatRed.png,FighterBlue.png,FighterGreen.png,sad,Acrobat,Fighter,Blue,Red,Yellow,Blue,Green
control-false-wrong-one-D2,A3.A3B1B2,three,2 of 2,ExplorerRGY_HairdresserRG.mp3,ExplorerRed.png,ExplorerGreen.png,ExplorerYellow.png,HairdresserRed.png,HairdresserGreen.png,ExplorerRed.mp3,ExplorerYellow.png,HairdresserRed.png,HairdresserGreen.png,sad,Explorer,Hairdresser,Red,Green,Yellow,Red,Green
control-false-wrong-one-D2,A3.A1B1B2,four,1 of 2,MermaidGRB_SailorBG.mp3,MermaidGreen.png,MermaidRed.png,MermaidBlue.png,SailorBlue.png,SailorGreen.png,MermaidBlue.mp3,MermaidGreen.png,SailorBlue.png,SailorGreen.png,sad,Mermaid,Sailor,Green,Red,Blue,Blue,Green
control-false-wrong-one-D2,A3.A2B1B2,four,2 of 2,MusicianRYG_ClownGR.mp3,MusicianRed.png,MusicianYellow.png,MusicianGreen.png,ClownGreen.png,ClownRed.png,MusicianGreen.mp3,MusicianYellow.png,ClownGreen.png,ClownRed.png,sad,Musician,Clown,Red,Yellow,Green,Green,Red
control-false-wrong-one-D2,A2.A1B1B2,five,1 of 2,ArtisanGBR_GhostYR.mp3,ArtisanGreen.png,ArtisanBlue.png,ArtisanRed.png,GhostYellow.png,GhostRed.png,ArtisanBlue.mp3,ArtisanGreen.png,GhostYellow.png,GhostRed.png,sad,Artisan,Ghost,Green,Blue,Red,Yellow,Red
control-false-wrong-one-D2,A3.A3B1B2,five,2 of 2,RomanYRB_ArtisanBR.mp3,RomanYellow.png,RomanRed.png,RomanBlue.png,ArtisanBlue.png,ArtisanRed.png,RomanRed.mp3,RomanBlue.png,ArtisanBlue.png,ArtisanRed.png,sad,Roman,Artisan,Yellow,Red,Blue,Blue,Red
control-false-wrong-one-D2,A3.A3B1B2,six,1 of 2,TennisYRG_HairdresserYR.mp3,TennisYellow.png,TennisRed.png,TennisGreen.png,HairdresserYellow.png,HairdresserRed.png,TennisYellow.mp3,TennisGreen.png,HairdresserYellow.png,HairdresserRed.png,sad,Tennis,Hairdresser,Yellow,Red,Green,Yellow,Red
control-false-wrong-one-D2,A3.A1B1B2,six,2 of 2,ArtistYBG_PainterYB.mp3,ArtistYellow.png,ArtistBlue.png,ArtistGreen.png,PainterYellow.png,PainterBlue.png,ArtistGreen.mp3,ArtistYellow.png,PainterYellow.png,PainterBlue.png,sad,Artist,Painter,Yellow,Blue,Green,Yellow,Blue
