Item,Type,Group,Number,DomainIntro,domainImage1,domainImage2,domainImage3,domainImage4,domainImage5,Premises,judgmentImage1,judgmentImage2,judgmentImage3,judgmentImage4,judgmentImage5,TargetResponse,set_A,set_B,A1_color,A2_color,A3_color,B1_color,B2_color
baseline-D3,A3.A1A2A3B1B2,1,1 of 2,MusicianGRB_SailorBY.mp3,MusicianGreen.png,MusicianRed.png,MusicianBlue.png,SailorBlue.png,SailorYellow.png,MusicianBlue.mp3,MusicianGreen.png,MusicianRed.png,MusicianBlue.png,SailorBlue.png,SailorYellow.png,happy,Musician,Sailor,Green,Red,Blue,Blue,Yellow
baseline-D3,A2.A1A2A3B1B2,1,2 of 2,ScubaGBY_ArtisanBY.mp3,ScubaGreen.png,ScubaBlue.png,ScubaYellow.png,ArtisanBlue.png,ArtisanYellow.png,ScubaBlue.mp3,ScubaGreen.png,ScubaBlue.png,ScubaYellow.png,ArtisanBlue.png,ArtisanYellow.png,happy,Scuba,Artisan,Green,Blue,Yellow,Blue,Yellow
baseline-D3,A1.A1A2A3B1B2,2,1 of 2,ClownGRY_LifeguardYB.mp3,ClownGreen.png,ClownRed.png,ClownYellow.png,LifeguardYellow.png,LifeguardBlue.png,ClownGreen.mp3,ClownGreen.png,ClownRed.png,ClownYellow.png,LifeguardYellow.png,LifeguardBlue.png,happy,Clown,Lifeguard,Green,Red,Yellow,Yellow,Blue
baseline-D3,A2.A1A2A3B1B2,2,2 of 2,QueenRGY_DancerBY.mp3,QueenRed.png,QueenGreen.png,QueenYellow.png,DancerBlue.png,DancerYellow.png,QueenGreen.mp3,QueenRed.png,QueenGreen.png,QueenYellow.png,DancerBlue.png,DancerYellow.png,happy,Queen,Dancer,Red,Green,Yellow,Blue,Yellow
baseline-D3,A3.A1A2A3B1B2,3,1 of 2,BusinessRBY_MummyGY.mp3,BusinessRed.png,BusinessBlue.png,BusinessYellow.png,MummyGreen.png,MummyYellow.png,BusinessYellow.mp3,BusinessRed.png,BusinessBlue.png,BusinessYellow.png,MummyGreen.png,MummyYellow.png,happy,Business,Mummy,Red,Blue,Yellow,Green,Yellow
baseline-D3,A1.A1A2A3B1B2,3,2 of 2,PainterRGY_MermaidBR.mp3,PainterRed.png,PainterGreen.png,PainterYellow.png,MermaidBlue.png,MermaidRed.png,PainterRed.mp3,PainterRed.png,PainterGreen.png,PainterYellow.png,MermaidBlue.png,MermaidRed.png,happy,Painter,Mermaid,Red,Green,Yellow,Blue,Red
baseline-D3,A2.A1A2A3B1B2,4,1 of 2,NurseYRG_PlumberRG.mp3,NurseYellow.png,NurseRed.png,NurseGreen.png,PlumberRed.png,PlumberGreen.png,NurseRed.mp3,NurseYellow.png,NurseRed.png,NurseGreen.png,PlumberRed.png,PlumberGreen.png,happy,Nurse,Plumber,Yellow,Red,Green,Red,Green
baseline-D3,A3.A1A2A3B1B2,4,2 of 2,WitchBYR_PhotographerGB.mp3,WitchBlue.png,WitchYellow.png,WitchRed.png,PhotographerGreen.png,PhotographerBlue.png,WitchRed.mp3,WitchBlue.png,WitchYellow.png,WitchRed.png,PhotographerGreen.png,PhotographerBlue.png,happy,Witch,Photographer,Blue,Yellow,Red,Green,Blue
baseline-D3,A1.A1A2A3B1B2,5,1 of 2,KingGRY_SnowmanBG.mp3,KingGreen.png,KingRed.png,KingYellow.png,SnowmanBlue.png,SnowmanGreen.png,KingGreen.mp3,KingGreen.png,KingRed.png,KingYellow.png,SnowmanBlue.png,SnowmanGreen.png,happy,King,Snowman,Green,Red,Yellow,Blue,Green
baseline-D3,A3.A1A2A3B1B2,5,2 of 2,SoldierYBR_VetGR.mp3,SoldierYellow.png,SoldierBlue.png,SoldierRed.png,VetGreen.png,VetRed.png,SoldierRed.mp3,SoldierYellow.png,SoldierBlue.png,SoldierRed.png,VetGreen.png,VetRed.png,happy,Soldier,Vet,Yellow,Blue,Red,Green,Red
baseline-D3,A2.A1A2A3B1B2,6,1 of 2,WitchYRB_HeroGY.mp3,WitchYellow.png,WitchRed.png,WitchBlue.png,HeroGreen.png,HeroYellow.png,WitchRed.mp3,WitchYellow.png,WitchRed.png,WitchBlue.png,HeroGreen.png,HeroYellow.png,happy,Witch,Hero,Yellow,Red,Blue,Green,Yellow
baseline-D3,A1.A1A2A3B1B2,6,2 of 2,MusicianGBR_FarmerYG.mp3,MusicianGreen.png,MusicianBlue.png,MusicianRed.png,FarmerYellow.png,FarmerGreen.png,MusicianGreen.mp3,MusicianGreen.png,MusicianBlue.png,MusicianRed.png,FarmerYellow.png,FarmerGreen.png,happy,Musician,Farmer,Green,Blue,Red,Yellow,Green
