Item,Type,Group,Number,DomainIntro,domainImage1,domainImage2,domainImage3,domainImage4,domainImage5,Premises,judgmentImage1,judgmentImage2,judgmentImage3,judgmentImage4,TargetResponse,set_A,set_B,A1_color,A2_color,A3_color,B1_color,B2_color
baseline-D5,A2.A1A2A3B1,1,1 of 2,SingerYRG_PolicemanBG.mp3,SingerYellow.png,SingerRed.png,SingerGreen.png,PolicemanBlue.png,PolicemanGreen.png,SingerRed.mp3,SingerYellow.png,SingerRed.png,SingerGreen.png,PolicemanBlue.png,happy,Singer,Policeman,Yellow,Red,Green,Blue,Green
baseline-D5,A1.A1A2A3B2,1,2 of 2,TennisGYB_TeacherGY.mp3,TennisGreen.png,TennisYellow.png,TennisBlue.png,TeacherGreen.png,TeacherYellow.png,TennisGreen.mp3,TennisGreen.png,TennisYellow.png,TennisBlue.png,TeacherYellow.png,happy,Tennis,Teacher,Green,Yellow,Blue,Green,Yellow
baseline-D5,A1.A1A2A3B1,2,1 of 2,TennisBYR_PlumberRG.mp3,TennisBlue.png,TennisYellow.png,TennisRed.png,PlumberRed.png,PlumberGreen.png,TennisBlue.mp3,TennisBlue.png,TennisYellow.png,TennisRed.png,PlumberRed.png,happy,Tennis,Plumber,Blue,Yellow,Red,Red,Green
baseline-D5,A3.A1A2A3B2,2,2 of 2,PainterBRG_SnowmanYR.mp3,PainterBlue.png,PainterRed.png,PainterGreen.png,SnowmanYellow.png,SnowmanRed.png,PainterGreen.mp3,PainterBlue.png,PainterRed.png,PainterGreen.png,SnowmanRed.png,happy,Painter,Snowman,Blue,Red,Green,Yellow,Red
baseline-D5,A2.A1A2A3B2,3,1 of 2,GardenerRYG_SoccerGY.mp3,GardenerRed.png,GardenerYellow.png,GardenerGreen.png,SoccerGreen.png,SoccerYellow.png,GardenerYellow.mp3,GardenerRed.png,GardenerYellow.png,GardenerGreen.png,SoccerYellow.png,happy,Gardener,Soccer,Red,Yellow,Green,Green,Yellow
baseline-D5,A2.A1A2A3B1,3,2 of 2,MagicianRBY_MusicianBG.mp3,MagicianRed.png,MagicianBlue.png,MagicianYellow.png,MusicianBlue.png,MusicianGreen.png,MagicianBlue.mp3,MagicianRed.png,MagicianBlue.png,MagicianYellow.png,MusicianBlue.png,happy,Magician,Musician,Red,Blue,Yellow,Blue,Green
baseline-D5,A1.A1A2A3B2,4,1 of 2,GnomeYGB_NurseGR.mp3,GnomeYellow.png,GnomeGreen.png,GnomeBlue.png,NurseGreen.png,NurseRed.png,GnomeYellow.mp3,GnomeYellow.png,GnomeGreen.png,GnomeBlue.png,NurseRed.png,happy,Gnome,Nurse,Yellow,Green,Blue,Green,Red
baseline-D5,A1.A1A2A3B1,4,2 of 2,RomanRYB_PirateGY.mp3,RomanRed.png,RomanYellow.png,RomanBlue.png,PirateGreen.png,PirateYellow.png,RomanRed.mp3,RomanRed.png,RomanYellow.png,RomanBlue.png,PirateGreen.png,happy,Roman,Pirate,Red,Yellow,Blue,Green,Yellow
baseline-D5,A3.A1A2A3B2,5,1 of 2,PhotographerBYG_DancerGY.mp3,PhotographerBlue.png,PhotographerYellow.png,PhotographerGreen.png,DancerGreen.png,DancerYellow.png,PhotographerGreen.mp3,PhotographerBlue.png,PhotographerYellow.png,PhotographerGreen.png,DancerYellow.png,happy,Photographer,Dancer,Blue,Yellow,Green,Green,Yellow
baseline-D5,A3.A1A2A3B1,5,2 of 2,AngelRYG_PilotRG.mp3,AngelRed.png,AngelYellow.png,AngelGreen.png,PilotRed.png,PilotGreen.png,AngelGreen.mp3,AngelRed.png,AngelYellow.png,AngelGreen.png,PilotRed.png,happy,Angel,Pilot,Red,Yellow,Green,Red,Green
baseline-D5,A3.A1A2A3B1,6,1 of 2,TeacherRBY_PilotRG.mp3,TeacherRed.png,TeacherBlue.png,TeacherYellow.png,PilotRed.png,PilotGreen.png,TeacherYellow.mp3,TeacherRed.png,TeacherBlue.png,TeacherYellow.png,PilotRed.png,happy,Teacher,Pilot,Red,Blue,Yellow,Red,Green
baseline-D5,A2.A1A2A3B2,6,2 of 2,SoccerRBG_ScubaRG.mp3,SoccerRed.png,SoccerBlue.png,SoccerGreen.png,ScubaRed.png,ScubaGreen.png,SoccerBlue.mp3,SoccerRed.png,SoccerBlue.png,SoccerGreen.png,ScubaGreen.png,happy,Soccer,Scuba,Red,Blue,Green,Red,Green
