Item;Type;Group;Number;DomainIntro;domainImage1;domainImage2;domainImage3;domainImage4;domainImage5;Premises;judgmentImage1;judgmentImage2;judgmentImage3;TargetResponse;set_A;set_B;A1_color;A2_color;A3_color;B1_color;B2_color
baseline-E2;AorB_B2.A3B1B2;1;1 of 2;ChefRBG_MummyBY.wav;ChefRed.png;ChefBlue.png;ChefGreen.png;MummyBlue.png;MummyYellow.png;MummyYellow.wav;ChefGreen.png;MummyBlue.png;MummyYellow.png;happy;Chef;Mummy;Red;Blue;Green;Blue;Yellow
baseline-E2;AorB_B1.A2B1B2;1;2 of 2;RomanYRG_LawyerRY.wav;RomanYellow.png;RomanRed.png;RomanGreen.png;LawyerRed.png;LawyerYellow.png;LawyerRed.wav;RomanRed.png;LawyerRed.png;LawyerYellow.png;happy;Roman;Lawyer;Yellow;Red;Green;Red;Yellow
baseline-E2;AorB_B1.A2B1B2;2;1 of 2;GnomeBYR_KnightRB.wav;GnomeBlue.png;GnomeYellow.png;GnomeRed.png;KnightRed.png;KnightBlue.png;KnightRed.wav;GnomeYellow.png;KnightRed.png;KnightBlue.png;happy;Gnome;Knight;Blue;Yellow;Red;Red;Blue
baseline-E2;AorB_B1.A3B1B2;2;2 of 2;FighterYBG_GhostGR.wav;FighterYellow.png;FighterBlue.png;FighterGreen.png;GhostGreen.png;GhostRed.png;GhostGreen.wav;FighterGreen.png;GhostGreen.png;GhostRed.png;happy;Fighter;Ghost;Yellow;Blue;Green;Green;Red
baseline-E2;AorB_B2.A1B1B2;3;1 of 2;TeacherRYB_AngelGR.wav;TeacherRed.png;TeacherYellow.png;TeacherBlue.png;AngelGreen.png;AngelRed.png;AngelRed.wav;TeacherRed.png;AngelGreen.png;AngelRed.png;happy;Teacher;Angel;Red;Yellow;Blue;Green;Red
baseline-E2;AorB_B2.A2B1B2;3;2 of 2;PlumberBRG_GnomeRY.wav;PlumberBlue.png;PlumberRed.png;PlumberGreen.png;GnomeRed.png;GnomeYellow.png;GnomeYellow.wav;PlumberRed.png;GnomeRed.png;GnomeYellow.png;happy;Plumber;Gnome;Blue;Red;Green;Red;Yellow
baseline-E2;AorB_B1.A1B1B2;4;1 of 2;MailmanBYR_VetYR.wav;MailmanBlue.png;MailmanYellow.png;MailmanRed.png;VetYellow.png;VetRed.png;VetYellow.wav;MailmanBlue.png;VetYellow.png;VetRed.png;happy;Mailman;Vet;Blue;Yellow;Red;Yellow;Red
baseline-E2;AorB_B2.A3B1B2;4;2 of 2;QueenBYG_SingerYR.wav;QueenBlue.png;QueenYellow.png;QueenGreen.png;SingerYellow.png;SingerRed.png;SingerRed.wav;QueenGreen.png;SingerYellow.png;SingerRed.png;happy;Queen;Singer;Blue;Yellow;Green;Yellow;Red
baseline-E2;AorB_B1.A3B1B2;5;1 of 2;SnowmanYBR_AstronautGB.wav;SnowmanYellow.png;SnowmanBlue.png;SnowmanRed.png;AstronautGreen.png;AstronautBlue.png;AstronautGreen.wav;SnowmanRed.png;AstronautGreen.png;AstronautBlue.png;happy;Snowman;Astronaut;Yellow;Blue;Red;Green;Blue
baseline-E2;AorB_B2.A1B1B2;5;2 of 2;MermaidBYG_AcrobatYB.wav;MermaidBlue.png;MermaidYellow.png;MermaidGreen.png;AcrobatYellow.png;AcrobatBlue.png;AcrobatBlue.wav;MermaidBlue.png;AcrobatYellow.png;AcrobatBlue.png;happy;Mermaid;Acrobat;Blue;Yellow;Green;Yellow;Blue
baseline-E2;AorB_B1.A1B1B2;6;1 of 2;AcrobatRYG_CowboyBY.wav;AcrobatRed.png;AcrobatYellow.png;AcrobatGreen.png;CowboyBlue.png;CowboyYellow.png;CowboyBlue.wav;AcrobatRed.png;CowboyBlue.png;CowboyYellow.png;happy;Acrobat;Cowboy;Red;Yellow;Green;Blue;Yellow
baseline-E2;AorB_B2.A2B1B2;6;2 of 2;PhotographerBYR_MusicianRY.wav;PhotographerBlue.png;PhotographerYellow.png;PhotographerRed.png;MusicianRed.png;MusicianYellow.png;MusicianYellow.wav;PhotographerYellow.png;MusicianRed.png;MusicianYellow.png;happy;Photographer;Musician;Blue;Yellow;Red;Red;Yellow
