Item,Type,Group,Number,DomainIntro,domainImage1,domainImage2,domainImage3,domainImage4,domainImage5,Premises,judgmentImage1,judgmentImage2,judgmentImage3,judgmentImage4,judgmentImage5,TargetResponse,set_A,set_B,A1_color,A2_color,A3_color,B1_color,B2_color
baseline-E3,AorB_B2.A1A2A3B1B2,1,1 of 2,AngelGBY_SnowmanRG.mp3,AngelGreen.png,AngelBlue.png,AngelYellow.png,SnowmanRed.png,SnowmanGreen.png,SnowmanRed.mp3,AngelGreen.png,AngelBlue.png,AngelYellow.png,SnowmanRed.png,SnowmanGreen.png,happy,Angel,Snowman,Green,Blue,Yellow,Red,Green
baseline-E3,AorB_B1.A1A2A3B1B2,1,2 of 2,LawyerBGY_KnightBR.mp3,LawyerBlue.png,LawyerGreen.png,LawyerYellow.png,KnightBlue.png,KnightRed.png,KnightBlue.mp3,LawyerBlue.png,LawyerGreen.png,LawyerYellow.png,KnightBlue.png,KnightRed.png,happy,Lawyer,Knight,Blue,Green,Yellow,Blue,Red
baseline-E3,AorB_B1.A1A2A3B1B2,2,1 of 2,AstronautBYG_SingerRB.mp3,AstronautBlue.png,AstronautYellow.png,AstronautGreen.png,SingerRed.png,SingerBlue.png,SingerRed.mp3,AstronautBlue.png,AstronautYellow.png,AstronautGreen.png,SingerRed.png,SingerBlue.png,happy,Astronaut,Singer,Blue,Yellow,Green,Red,Blue
baseline-E3,AorB_B2.A1A2A3B1B2,2,2 of 2,PlumberBRG_SoldierGB.mp3,PlumberBlue.png,PlumberRed.png,PlumberGreen.png,SoldierGreen.png,SoldierBlue.png,SoldierGreen.mp3,PlumberBlue.png,PlumberRed.png,PlumberGreen.png,SoldierGreen.png,SoldierBlue.png,happy,Plumber,Soldier,Blue,Red,Green,Green,Blue
baseline-E3,AorB_B2.A1A2A3B1B2,3,1 of 2,ArtisanYBG_LawyerGB.mp3,ArtisanYellow.png,ArtisanBlue.png,ArtisanGreen.png,LawyerGreen.png,LawyerBlue.png,LawyerGreen.mp3,ArtisanYellow.png,ArtisanBlue.png,ArtisanGreen.png,LawyerGreen.png,LawyerBlue.png,happy,Artisan,Lawyer,Yellow,Blue,Green,Green,Blue
baseline-E3,AorB_B1.A1A2A3B1B2,3,2 of 2,GhostBYG_ExplorerYG.mp3,GhostBlue.png,GhostYellow.png,GhostGreen.png,ExplorerYellow.png,ExplorerGreen.png,ExplorerYellow.mp3,GhostBlue.png,GhostYellow.png,GhostGreen.png,ExplorerYellow.png,ExplorerGreen.png,happy,Ghost,Explorer,Blue,Yellow,Green,Yellow,Green
baseline-E3,AorB_B1.A1A2A3B1B2,4,1 of 2,KnightRGY_ScubaBG.mp3,KnightRed.png,KnightGreen.png,KnightYellow.png,ScubaBlue.png,ScubaGreen.png,ScubaBlue.mp3,KnightRed.png,KnightGreen.png,KnightYellow.png,ScubaBlue.png,ScubaGreen.png,happy,Knight,Scuba,Red,Green,Yellow,Blue,Green
baseline-E3,AorB_B2.A1A2A3B1B2,4,2 of 2,ClownGBR_ChefGY.mp3,ClownGreen.png,ClownBlue.png,ClownRed.png,ChefGreen.png,ChefYellow.png,ChefGreen.mp3,ClownGreen.png,ClownBlue.png,ClownRed.png,ChefGreen.png,ChefYellow.png,happy,Clown,Chef,Green,Blue,Red,Green,Yellow
baseline-E3,AorB_B2.A1A2A3B1B2,5,1 of 2,ExplorerBRY_RomanBR.mp3,ExplorerBlue.png,ExplorerRed.png,ExplorerYellow.png,RomanBlue.png,RomanRed.png,RomanBlue.mp3,ExplorerBlue.png,ExplorerRed.png,ExplorerYellow.png,RomanBlue.png,RomanRed.png,happy,Explorer,Roman,Blue,Red,Yellow,Blue,Red
baseline-E3,AorB_B1.A1A2A3B1B2,5,2 of 2,FarmerGBY_PirateBG.mp3,FarmerGreen.png,FarmerBlue.png,FarmerYellow.png,PirateBlue.png,PirateGreen.png,PirateBlue.mp3,FarmerGreen.png,FarmerBlue.png,FarmerYellow.png,PirateBlue.png,PirateGreen.png,happy,Farmer,Pirate,Green,Blue,Yellow,Blue,Green
baseline-E3,AorB_B1.A1A2A3B1B2,6,1 of 2,PainterYGB_PolicemanBG.mp3,PainterYellow.png,PainterGreen.png,PainterBlue.png,PolicemanBlue.png,PolicemanGreen.png,PolicemanBlue.mp3,PainterYellow.png,PainterGreen.png,PainterBlue.png,PolicemanBlue.png,PolicemanGreen.png,happy,Painter,Policeman,Yellow,Green,Blue,Blue,Green
baseline-E3,AorB_B2.A1A2A3B1B2,6,2 of 2,MermaidRBY_AcrobatBR.mp3,MermaidRed.png,MermaidBlue.png,MermaidYellow.png,AcrobatBlue.png,AcrobatRed.png,AcrobatBlue.mp3,MermaidRed.png,MermaidBlue.png,MermaidYellow.png,AcrobatBlue.png,AcrobatRed.png,happy,Mermaid,Acrobat,Red,Blue,Yellow,Blue,Red
