Item,Type,Group,Number,DomainIntro,domainImage1,domainImage2,domainImage3,domainImage4,domainImage5,Premises,judgmentImage1,judgmentImage2,judgmentImage3,TargetResponse,set_A,set_B,A1_color,A2_color,A3_color,B1_color,B2_color
baseline-E2,AorB_B2.A3B1B2,1,1 of 2,ChefRBG_MummyBY.mp3,ChefRed.png,ChefBlue.png,ChefGreen.png,MummyBlue.png,MummyYellow.png,MummyYellow.mp3,ChefGreen.png,MummyBlue.png,MummyYellow.png,happy,Chef,Mummy,Red,Blue,Green,Blue,Yellow
baseline-E2,AorB_B1.A2B1B2,1,2 of 2,RomanYRG_LawyerRY.mp3,RomanYellow.png,RomanRed.png,RomanGreen.png,LawyerRed.png,LawyerYellow.png,LawyerRed.mp3,RomanRed.png,LawyerRed.png,LawyerYellow.png,happy,Roman,Lawyer,Yellow,Red,Green,Red,Yellow
baseline-E2,AorB_B1.A2B1B2,2,1 of 2,GnomeBYR_KnightRB.mp3,GnomeBlue.png,GnomeYellow.png,GnomeRed.png,KnightRed.png,KnightBlue.png,KnightRed.mp3,GnomeYellow.png,KnightRed.png,KnightBlue.png,happy,Gnome,Knight,Blue,Yellow,Red,Red,Blue
baseline-E2,AorB_B1.A3B1B2,2,2 of 2,FighterYBG_GhostGR.mp3,FighterYellow.png,FighterBlue.png,FighterGreen.png,GhostGreen.png,GhostRed.png,GhostGreen.mp3,FighterGreen.png,GhostGreen.png,GhostRed.png,happy,Fighter,Ghost,Yellow,Blue,Green,Green,Red
baseline-E2,AorB_B2.A1B1B2,3,1 of 2,TeacherRYB_AngelGR.mp3,TeacherRed.png,TeacherYellow.png,TeacherBlue.png,AngelGreen.png,AngelRed.png,AngelRed.mp3,TeacherRed.png,AngelGreen.png,AngelRed.png,happy,Teacher,Angel,Red,Yellow,Blue,Green,Red
baseline-E2,AorB_B2.A2B1B2,3,2 of 2,PlumberBRG_GnomeRY.mp3,PlumberBlue.png,PlumberRed.png,PlumberGreen.png,GnomeRed.png,GnomeYellow.png,GnomeYellow.mp3,PlumberRed.png,GnomeRed.png,GnomeYellow.png,happy,Plumber,Gnome,Blue,Red,Green,Red,Yellow
baseline-E2,AorB_B1.A1B1B2,4,1 of 2,MailmanBYR_VetYR.mp3,MailmanBlue.png,MailmanYellow.png,MailmanRed.png,VetYellow.png,VetRed.png,VetYellow.mp3,MailmanBlue.png,VetYellow.png,VetRed.png,happy,Mailman,Vet,Blue,Yellow,Red,Yellow,Red
baseline-E2,AorB_B2.A3B1B2,4,2 of 2,QueenBYG_SingerYR.mp3,QueenBlue.png,QueenYellow.png,QueenGreen.png,SingerYellow.png,SingerRed.png,SingerRed.mp3,QueenGreen.png,SingerYellow.png,SingerRed.png,happy,Queen,Singer,Blue,Yellow,Green,Yellow,Red
baseline-E2,AorB_B1.A3B1B2,5,1 of 2,SnowmanYBR_AstronautGB.mp3,SnowmanYellow.png,SnowmanBlue.png,SnowmanRed.png,AstronautGreen.png,AstronautBlue.png,AstronautGreen.mp3,SnowmanRed.png,AstronautGreen.png,AstronautBlue.png,happy,Snowman,Astronaut,Yellow,Blue,Red,Green,Blue
baseline-E2,AorB_B2.A1B1B2,5,2 of 2,MermaidBYG_AcrobatYB.mp3,MermaidBlue.png,MermaidYellow.png,MermaidGreen.png,AcrobatYellow.png,AcrobatBlue.png,AcrobatBlue.mp3,MermaidBlue.png,AcrobatYellow.png,AcrobatBlue.png,happy,Mermaid,Acrobat,Blue,Yellow,Green,Yellow,Blue
baseline-E2,AorB_B1.A1B1B2,6,1 of 2,AcrobatRYG_CowboyBY.mp3,AcrobatRed.png,AcrobatYellow.png,AcrobatGreen.png,CowboyBlue.png,CowboyYellow.png,CowboyBlue.mp3,AcrobatRed.png,CowboyBlue.png,CowboyYellow.png,happy,Acrobat,Cowboy,Red,Yellow,Green,Blue,Yellow
baseline-E2,AorB_B2.A2B1B2,6,2 of 2,PhotographerBYR_MusicianRY.mp3,PhotographerBlue.png,PhotographerYellow.png,PhotographerRed.png,MusicianRed.png,MusicianYellow.png,MusicianYellow.mp3,PhotographerYellow.png,MusicianRed.png,MusicianYellow.png,happy,Photographer,Musician,Blue,Yellow,Red,Red,Yellow
